,FEAT,COR,VAL,MEAN,YEARS_STD
0,sent_lens,E,16.364045538787398,16.358181195487408,0.008293433829257766
1,sent_lens,Z,16.352316852187418,16.358181195487408,0.008293433829257766
0,tok_embeds,E,3.1528144061352275,3.1202894870993383,0.045997181615641626
1,tok_embeds,Z,3.0877645680634487,3.1202894870993383,0.045997181615641626
0,max_sent_embeds,E,4.472067778660312,4.386176265721562,0.12146894249072485
1,max_sent_embeds,Z,4.300284752782812,4.386176265721562,0.12146894249072485
0,simpx_s,E,1.5427588032830288,1.6431112162933394,0.1419197434960475
1,simpx_s,Z,1.74346362930365,1.6431112162933394,0.1419197434960475
0,subc_s,E,0.35027799841143764,0.40721251719691737,0.08051756863361118
1,subc_s,Z,0.4641470359823971,0.40721251719691737,0.08051756863361118
0,relc_s,E,0.12284882181625628,0.14128462317838442,0.026072160319537987
1,relc_s,Z,0.15972042454051255,0.14128462317838442,0.026072160319537987
0,parac_s,E,0.0015885623510722795,0.002088612006496533,0.0007071770045609724
1,parac_s,Z,0.0025886616619207868,0.002088612006496533,0.0007071770045609724
0,clauses_s,E,1.6671961874503574,1.7864844514782203,0.1686990808201464
1,clauses_s,Z,1.9057727155060833,1.7864844514782203,0.1686990808201464
0,verbx_s,E,2.21260259465184,2.3339740904918536,0.17164521550245632
1,verbx_s,Z,2.4553455863318665,2.3339740904918536,0.17164521550245632
0,vc_s,E,0.907333862854117,0.9811067450434189,0.10433061052746329
1,vc_s,Z,1.0548796272327208,0.9811067450434189,0.10433061052746329
0,nx_s,E,6.923749007148531,6.675827389932018,0.35061411347306287
1,nx_s,Z,6.427905772715506,6.675827389932018,0.35061411347306287
0,simpx_c,E,0.9253612831507066,0.9200971044930387,0.007444672852428978
1,simpx_c,Z,0.9148329258353708,0.9200971044930387,0.007444672852428978
0,subc_c,E,0.21010004764173415,0.2268239982843281,0.023651237815214585
1,subc_c,Z,0.24354794892692203,0.2268239982843281,0.023651237815214585
0,relc_c,E,0.07368588216611084,0.0787473148945197,0.007157946809554866
1,relc_c,Z,0.08380874762292856,0.0787473148945197,0.007157946809554866
0,parac_c,E,0.0009528346831824678,0.0011555806124415463,0.000286726042874125
1,parac_c,Z,0.0013583265417006249,0.0011555806124415463,0.000286726042874125
0,clause_lens,E,12.875655073844689,12.5160671457243,0.5085341248134944
1,clause_lens,Z,12.156479217603913,12.5160671457243,0.5085341248134944
0,simpx_lens,E,13.18963446027115,12.807289390491924,0.5407175831882711
1,simpx_lens,Z,12.424944320712696,12.807289390491924,0.5407175831882711
0,relc_lens,E,8.816810344827585,8.873559143240373,0.08025492036374048
1,relc_lens,Z,8.93030794165316,8.873559143240373,0.08025492036374048
0,nx_lens,E,2.4571909296011625,2.4151968904378895,0.059388539723527485
1,nx_lens,Z,2.3732028512746166,2.4151968904378895,0.059388539723527485
0,px_lens,E,3.5562080536912752,3.550086143090049,0.008657688999889782
1,px_lens,Z,3.5439642324888228,3.550086143090049,0.008657688999889782
0,vf_lens,E,3.56,3.306110509209101,0.35905396122048877
1,vf_lens,Z,3.0522210184182015,3.306110509209101,0.35905396122048877
0,mf_lens,E,5.114037958115183,4.810305632387115,0.4295423743757578
1,mf_lens,Z,4.506573306659045,4.810305632387115,0.4295423743757578
0,nf_lens,E,9.347664936990363,9.291106636482503,0.07998551564298784
1,nf_lens,Z,9.234548335974644,9.291106636482503,0.07998551564298784
0,vv_nn,E,0.4553043196369236,0.49875863163474576,0.061453677370911994
1,vv_nn,Z,0.5422129436325679,0.49875863163474576,0.061453677370911994
